名称,IP,端口,备注
车载1,20.15.1.2,50003,VOBC
车载2,20.15.2.2,50003,VOBC
车载3,20.15.3.2,50003,VOBC
车载4,20.15.4.2,50003,VOBC
车载5,20.15.5.2,50003,VOBC
车载6,20.15.6.2,50003,VOBC
车载7,20.15.7.2,50003,VOBC
车载8,20.15.8.2,50003,VOBC
车载9,20.15.9.2,50003,VOBC
车载10,20.15.10.2,50003,VOBC
车载11,20.15.11.2,50003,VOBC
车载12,20.15.12.2,50003,VOBC
车载13,20.15.13.2,50003,VOBC
车载14,20.15.14.2,50003,VOBC
车载15,20.15.15.2,50003,VOBC
车载16,20.15.16.2,50003,VOBC
地面ZC,20.28.11.2,50003,ZC
