名称,IP,端口,备注
车载1,20.11.1.2,50003,VOBC
车载2,20.11.2.2,50003,VOBC
车载3,20.11.3.2,50003,VOBC
车载4,20.11.4.2,50003,VOBC
车载5,20.11.5.2,50003,VOBC
车载6,20.11.6.2,50003,VOBC
车载7,20.11.7.2,50003,VOBC
车载8,20.11.8.2,50003,VOBC
车载9,20.11.9.2,50003,VOBC
车载10,20.11.10.2,50003,VOBC
车载11,20.11.11.2,50003,VOBC
车载12,20.11.12.2,50003,VOBC
车载13,20.11.13.2,50003,VOBC
车载14,20.11.14.2,50003,VOBC
车载15,20.11.15.2,50003,VOBC
车载16,20.11.16.2,50003,VOBC
地面ZC,20.24.11.2,50003,ZC
